H,Squared Error
1,0.7504684533923864
2,0.6608933117240667
4,0.5958679374307394
8,0.5470849629491568
16,0.523049583658576
32,0.5090998727828264
64,0.49074442498385906
128,0.4709773762151599
256,0.4381455071270466
512,0.37726880237460136
1024,0.2847520215436816
2048,0.15921961748972535
4096,8.396718146341797e-05
8192,1.649609526126021e-12
16384,2.6629532726054478e-12
1,0.7497290577739477
2,0.6606599856168032
4,0.599924311041832
8,0.5529073756188154
16,0.526022806763649
32,0.5053600585088134
64,0.4890235560014844
128,0.46939383540302515
256,0.4382722694426775
512,0.37888926174491644
1024,0.2829705262556672
2048,0.15875149657949805
4096,5.667839195488966e-05
8192,1.5081577903441586e-12
16384,3.1766688380534345e-12
1,0.7265096679329872
2,0.6606314945966005
4,0.5948153380304575
8,0.5542244240641594
16,0.5231210868805647
32,0.5054045766592026
64,0.4937316048890352
128,0.46527533419430256
256,0.43532572127878666
512,0.37719775922596455
1024,0.28770620841532946
2048,0.15720357047393918
4096,7.282244172166635e-05
8192,1.510080953239911e-12
16384,2.837590676752627e-12
1,0.7591641992330551
2,0.6740020643919706
4,0.5963664762675762
8,0.5538112502545118
16,0.5275452099740505
32,0.5058781486004591
64,0.49286056961864233
128,0.47396297566592693
256,0.43406417593359947
512,0.3786836303770542
1024,0.28803079575300217
2048,0.1613284396007657
4096,7.537306565730262e-05
8192,1.5270467199356196e-12
16384,3.0263190702885766e-12
1,0.7505701147019863
2,0.6611191518604755
4,0.5952535308897495
8,0.5518931206315756
16,0.522288840264082
32,0.5029162345454097
64,0.4857844579964876
128,0.4708046708256006
256,0.44184262678027153
512,0.3856172561645508
1024,0.2853155666962266
2048,0.16157081676647067
4096,7.252314690556205e-05
8192,1.2603922710342297e-12
16384,2.5877222829546586e-12
