,loss,lr,rank,nheads,dim,num_points
0,0.4867460131645202,0.01,1,1,32,2
1,0.5347574353218079,0.01,1,4096,64,2
2,0.179536834359169,0.1,1,32,32,2
3,0.1694823652505874,0.01,1,8192,8,2
4,0.4964527189731598,0.001,1,1,64,2
5,0.1607097387313842,0.1,1,16,8,2
6,0.4893610775470733,0.001,1,8,32,2
7,0.4785045981407165,0.01,1,2,32,2
8,0.1252220869064331,0.1,1,32,4,2
9,0.393530011177063,0.01,1,1,4,2
10,0.1939000934362411,0.001,1,2048,8,2
11,0.206142708659172,0.01,1,4096,16,2
12,0.1342678070068359,0.001,1,2048,4,2
13,0.171758770942688,0.01,1,16,16,2
14,0.6671921610832214,0.1,1,4096,16,2
15,0.1713968515396118,0.1,1,32,16,2
16,0.502709686756134,0.01,1,128,128,2
17,0.2749869227409363,0.1,1,1024,16,2
18,0.4950877726078033,0.01,1,2,128,2
19,0.1708576083183288,0.001,1,512,16,2
20,0.5064066052436829,0.1,1,32,128,2
21,0.4118940234184265,0.01,1,2,8,2
22,0.4575865566730499,0.01,1,8,64,2
23,0.2602989077568054,0.001,1,512,32,2
24,0.3306811153888702,0.001,1,2,4,2
25,0.4996405839920044,0.001,1,4,128,2
26,0.449558287858963,0.001,1,1,8,2
27,0.4982505142688751,0.001,1,128,64,2
28,0.335284948348999,0.01,1,16,32,2
29,1.998812198638916,0.01,1,4096,128,2
30,0.1707369983196258,0.01,1,64,16,2
31,0.6207994222640991,0.1,1,512,64,2
32,0.1592749655246734,0.01,1,1024,8,2
33,0.1355334371328354,0.001,1,4096,4,2
34,0.1441121995449066,0.001,1,4,4,2
35,0.1389313489198684,0.1,1,1024,4,2
36,0.1677222847938537,0.1,1,16384,4,2
37,1.0125439167022705,0.001,1,16384,4,2
38,1.982666611671448,0.1,1,1024,128,2
39,0.1939930021762848,0.01,1,512,32,2
40,0.7844753265380859,0.01,1,16384,64,2
41,0.6434454321861267,0.1,1,1024,32,2
42,0.1597707271575927,0.01,1,16,8,2
43,0.3421420156955719,0.01,1,32,64,2
44,0.4853601455688476,0.1,1,256,32,2
45,0.1913938522338867,0.1,1,256,16,2
46,0.4974161088466644,0.01,1,1,128,2
47,0.1295281946659088,0.1,1,256,4,2
48,0.4729152321815491,0.1,1,1,16,2
49,0.1600031405687332,0.1,1,64,8,2
50,0.1580830216407776,0.01,1,256,8,2
51,0.5057008266448975,0.01,1,256,128,2
52,0.4162679016590118,0.01,1,8,32,2
53,0.4433844685554504,0.01,1,1,8,2
54,0.3385209143161773,0.1,1,16,32,2
55,0.4900752902030945,0.001,1,4,32,2
56,0.1614779084920883,0.1,1,8,8,2
57,0.4607962667942047,0.1,1,8,64,2
58,2.1641860008239746,0.1,1,16384,16,2
59,0.495616614818573,0.01,1,8,128,2
60,0.5234073996543884,0.1,1,256,64,2
61,1.2036343812942505,0.1,1,512,128,2
62,0.1617173701524734,0.01,1,2048,8,2
63,0.1821521967649459,0.1,1,4096,8,2
64,1.7983134984970093,0.001,1,8192,8,2
65,0.3585776388645172,0.001,1,4,8,2
66,0.543800950050354,0.001,1,1024,128,2
67,0.2453381717205047,0.01,1,64,64,2
68,0.1638812124729156,0.1,1,512,8,2
69,0.5000898241996765,0.001,1,512,64,2
70,0.4849876463413238,0.1,1,1,32,2
71,0.4285472929477691,0.01,1,4,16,2
72,0.5043947100639343,0.1,1,64,64,2
73,0.4976709485054016,0.001,1,16,64,2
74,0.4755619168281555,0.01,1,1,16,2
75,0.2671851813793182,0.001,1,256,32,2
76,1.9286448955535889,0.1,1,16384,32,2
77,0.4667480885982513,0.001,1,2,16,2
78,0.5076854825019836,0.1,1,512,32,2
79,0.5020645260810852,0.1,1,8,128,2
80,0.138284221291542,0.01,1,4096,4,2
81,0.1426203250885009,0.1,1,2048,4,2
82,0.5010347962379456,0.001,1,1024,64,2
83,0.6825787425041199,0.01,1,16384,32,2
84,2.0016770362854004,0.1,1,4096,128,2
85,0.2201330065727234,0.1,1,512,16,2
86,0.2194884270429611,0.1,1,8192,8,2
87,0.4980415403842926,0.001,1,64,64,2
88,0.3098422586917877,0.001,1,16,16,2
89,0.1595000177621841,0.1,1,128,8,2
90,0.4765726029872894,0.001,1,1,16,2
91,0.1417349576950073,0.1,1,4096,4,2
92,0.1406332403421402,0.01,1,16384,4,2
93,0.186141088604927,0.01,1,2048,16,2
94,0.1358291655778885,0.1,1,8,4,2
95,0.1152416318655014,0.01,1,512,4,2
96,0.17746402323246,0.1,1,128,16,2
97,0.4804524481296539,0.1,1,4,64,2
98,0.4978840351104736,0.1,1,1,128,2
99,1.993748664855957,0.1,1,16384,64,2
100,0.501857340335846,0.001,1,4096,16,2
101,0.172365516424179,0.01,1,256,16,2
102,0.5050890445709229,0.01,1,1024,64,2
103,0.547982931137085,0.01,1,8192,32,2
104,0.1706539690494537,0.001,1,4096,8,2
105,0.4899545013904571,0.1,1,2,64,2
106,0.5899661779403687,0.1,1,256,128,2
107,0.5019277334213257,0.001,1,512,128,2
108,1.9701663255691528,0.1,1,4096,32,2
109,0.159528374671936,0.001,1,32,8,2
110,0.1727770864963531,0.001,1,64,16,2
111,0.1595038026571273,0.001,1,512,8,2
112,0.1340195536613464,0.001,1,32,4,2
113,0.1713418513536453,0.01,1,32,16,2
114,0.4967285990715027,0.001,1,2,64,2
115,0.4995401799678802,0.001,1,2,128,2
116,0.4885856211185455,0.001,1,1,32,2
117,0.1302068382501602,0.01,1,16,4,2
118,0.1338883191347122,0.001,1,64,4,2
119,0.1816054880619049,0.01,1,32,32,2
120,0.4969479739665985,0.001,1,4,64,2
121,1.9680131673812864,0.001,1,4096,64,2
122,0.1294617503881454,0.1,1,128,4,2
123,0.3292654454708099,0.1,1,8,16,2
124,0.4159424602985382,0.001,1,2,8,2
125,0.4994407296180725,0.1,1,4,128,2
126,2.0273027420043945,0.1,1,2048,32,2
127,0.4572889804840088,0.1,1,4,32,2
128,0.1155394837260246,0.01,1,256,4,2
129,0.1771172285079956,0.01,1,1024,16,2
130,0.5001813769340515,0.001,1,32,128,2
131,0.4674122631549835,0.001,1,32,32,2
132,0.2879343330860138,0.01,1,128,64,2
133,0.3956255316734314,0.001,1,1,4,2
134,1.9594595432281492,0.001,1,4096,32,2
135,0.5089479088783264,0.1,1,128,64,2
136,0.5004993677139282,0.001,1,64,128,2
137,1.9716029167175293,0.1,1,4096,64,2
138,0.4128431677818298,0.1,1,2,8,2
139,0.1253047287464141,0.1,1,64,4,2
140,0.4989837408065796,0.001,1,256,64,2
141,0.5119419693946838,0.1,1,16384,8,2
142,0.1185187920928001,0.01,1,1024,4,2
143,1.999111533164978,0.1,1,2048,64,2
144,0.3171698749065399,0.01,1,4,8,2
145,0.1575776487588882,0.001,1,1024,8,2
146,0.4814864993095398,0.01,1,4,64,2
147,0.3697530031204223,0.1,1,2048,16,2
148,0.4403196573257446,0.1,1,16,64,2
149,0.4983088970184326,0.1,1,32,64,2
150,0.1571253538131714,0.001,1,128,8,2
151,0.1627588868141174,0.1,1,1024,8,2
152,0.1391443312168121,0.01,1,8192,4,2
153,2.167521715164185,0.001,1,16384,16,2
154,0.5998622179031372,0.01,1,8192,64,2
155,0.4978850185871124,0.001,1,32,64,2
156,0.1612306535243988,0.01,1,512,8,2
157,0.484897255897522,0.001,1,16,32,2
158,1.994761943817139,0.01,1,16384,128,2
159,0.6191824078559875,0.001,1,2048,64,2
160,0.1336830705404281,0.001,1,256,4,2
161,0.1584113240242004,0.001,1,256,8,2
162,0.1870717853307724,0.001,1,32,16,2
163,0.3295021951198578,0.01,1,8,16,2
164,0.5636677742004395,0.001,1,2048,32,2
165,0.4516197443008423,0.01,1,2,16,2
