dim,H,seed,Squared Error
64,16384,0,0.27506963443011045
64,8192,0,0.3361827898770571
64,4096,0,0.3944501979276538
64,2048,0,0.44302544463425875
64,1024,0,0.4687506193295121
64,512,0,0.483884084969759
64,256,0,0.49290978256613016
64,128,0,0.4986459594219923
64,64,0,0.5050156889483333
64,32,0,0.5145511515438557
64,16,0,0.5303310193121433
64,8,0,0.556074284017086
64,4,0,0.6019400414079428
64,2,0,0.6541139502078295
64,1,0,0.7444871477782726
32,16384,0,0.20328519213944674
32,8192,0,0.2279590149410069
32,4096,0,0.2712113605812192
32,2048,0,0.33027606550604105
32,1024,0,0.39082419499754906
32,512,0,0.4429790675640106
32,256,0,0.4704867210239172
32,128,0,0.48817390482872725
32,64,0,0.49949481151998043
32,32,0,0.5128699159249663
32,16,0,0.5221635354682803
32,8,0,0.5470751766115427
32,4,0,0.5978645570576191
32,2,0,0.6624693479388952
32,1,0,0.745142012834549
16,16384,0,0.17622628202661872
16,8192,0,0.18298374488949776
16,4096,0,0.19559587119147182
16,2048,0,0.22040011547505856
16,1024,0,0.26150643778964877
16,512,0,0.32073012832552195
16,256,0,0.3959457818418741
16,128,0,0.43868149537593126
16,64,0,0.4743241472169757
16,32,0,0.4984266171231866
16,16,0,0.5034017572179437
16,8,0,0.5416244175285101
16,4,0,0.5896551553159952
16,2,0,0.6737966276705265
16,1,0,0.7489014994353056
8,16384,0,0.1609299350529909
8,8192,0,0.1628720429725945
8,4096,0,0.16724372608587146
8,2048,0,0.1733513600192964
8,1024,0,0.18484181072562933
8,512,0,0.21210977341979742
8,256,0,0.24674954172223806
8,128,0,0.32390628289431334
8,64,0,0.396003314293921
8,32,0,0.4220521179959178
8,16,0,0.4772931654006243
8,8,0,0.5087590282782912
8,4,0,0.6023588478565216
8,2,0,0.653500534594059
8,1,0,0.7182920444756746
4,16384,0,0.08776380540803075
4,8192,0,0.09900225116871297
4,4096,0,0.11088155163452029
4,2048,0,0.12442660261876881
4,1024,0,0.134986286284402
4,512,0,0.1442527063190937
4,256,0,0.15857100067660213
4,128,0,0.1744815926067531
4,64,0,0.21483216062188148
4,32,0,0.2881639078259468
4,16,0,0.3368007643148303
